"routes3.shipmentorigindesc";"routes3.Latitude.x";"routes3.Longitude.x";"routes3.shipmentdestinationdesc";"routes3.Latitude.y";"routes3.Longitude.y"
"1";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Abu Dhabi";24.46666667;54.366667
"12";"MSD Haarlem";52.387388;4.646219;"Abu Dhabi";24.46666667;54.366667
"34";"USA - GA Suwanee OFC";34.05149;-84.0713;"Abu Dhabi";24.46666667;54.366667
"94";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Abu Dhabi";24.46666667;54.366667
"126";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Afganistan";34.51666667;69.183333
"129";"USA - GA Suwanee OFC";34.05149;-84.0713;"Alabama AL";32.318231;-86.902298
"130";"West Point - Bldg 56";40.209052;-75.296471;"Alabama AL";32.318231;-86.902298
"140";"MSD Haarlem";52.387388;4.646219;"Alabama AL";32.318231;-86.902298
"157";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Alaska AK";38.883333;-77
"160";"Reno OFC";39.529633;-119.813803;"Alaska AK";38.883333;-77
"164";"USA - GA Suwanee OFC";34.05149;-84.0713;"Alaska AK";38.883333;-77
"168";"MSD Haarlem";52.387388;4.646219;"Alaska AK";38.883333;-77
"183";"MSD Spain";40.463667;-3.74922;"Alaska AK";38.883333;-77
"192";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Albania";41.31666667;19.816667
"194";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Algeria";28.033886;1.659626
"285";"Elkton VA";38.883333;-77;"Algeria";28.033886;1.659626
"288";"Elkton VA";38.407904;-78.623628;"Algeria";28.033886;1.659626
"308";"BELGIUM - MSD Heist op den Bergh";51.339918;3.239687;"Algeria";28.033886;1.659626
"346";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Argentina";-38.416097;-63.616672
"349";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Argentina";-38.416097;-63.616672
"351";"Cramlington UK";55.086136;-1.5808;"Argentina";-38.416097;-63.616672
"355";"Mirabel France";44.144405;1.419822;"Argentina";-38.416097;-63.616672
"360";"NETHERLANDS - (Movianto) Oss";51.76118;5.514048;"Argentina";-38.416097;-63.616672
"365";"MSD Spain";40.463667;-3.74922;"Argentina";-38.416097;-63.616672
"367";"MSD Haarlem";52.387388;4.646219;"Argentina";-38.416097;-63.616672
"373";"Huahai Pharma. China";39.91666667;116.383333;"Argentina";-38.416097;-63.616672
"380";"Wilson NC";35.721269;-77.91554;"Argentina";-38.416097;-63.616672
"427";"West Point - Bldg 56";40.209052;-75.296471;"Argentina";-38.416097;-63.616672
"438";"USA - GA Suwanee OFC";34.05149;-84.0713;"Argentina";-38.416097;-63.616672
"478";"Wilson NC";35.721269;-77.91554;"ARGENTINA - (Sinergium Biotech) Garin";-34.58333333;-58.666667
"479";"MSD Haarlem";52.387388;4.646219;"ARGENTINA - (Sinergium Biotech) Garin";-34.58333333;-58.666667
"481";"Reno OFC";39.529633;-119.813803;"Arizona AZ";38.883333;-77
"493";"USA - GA Suwanee OFC";34.05149;-84.0713;"Arkansas AR";38.883333;-77
"496";"Reno OFC";39.529633;-119.813803;"Arkansas AR";38.883333;-77
"500";"USA - GA Suwanee OFC";34.05149;-84.0713;"ARUBA";12.51666667;-70.033333
"504";"AUSTRALIA - (UPS) Greystanes";-33.823244;150.943633;"Australia";-25.274398;133.775136
"506";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Australia";-25.274398;133.775136
"507";"West Point - Bldg 56";40.209052;-75.296471;"Australia";-25.274398;133.775136
"508";"MSD Haarlem";52.387388;4.646219;"Australia";-25.274398;133.775136
"509";"FRANCE - Herouville Saint Clair";48.86666667;2.333333;"Australia";-25.274398;133.775136
"519";"NETHERLANDS - (Movianto) Oss";51.76118;5.514048;"Australia";-25.274398;133.775136
"521";"USA - FL Miami Lakes";25.908706;-80.308662;"Australia";-25.274398;133.775136
"529";"MSD Austria";47.516231;14.550072;"Australia";-25.274398;133.775136
"531";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Australia";-25.274398;133.775136
"543";"Mirabel France";44.144405;1.419822;"Australia";-25.274398;133.775136
"547";"NETHERLANDS - (Aspen Pharma) Oss";52.35;4.916667;"Australia";-25.274398;133.775136
"552";"MSD China";39.91666667;116.383333;"Australia";-25.274398;133.775136
"554";"INDONESIA - MSD Indonesia Pandaan";-6.166666667;106.816667;"Australia";-25.274398;133.775136
"583";"MSD Spain";40.463667;-3.74922;"Australia";-25.274398;133.775136
"638";"USA - TN (RxPak) Memphis";35.149534;-90.04898;"Australia";-25.274398;133.775136
"664";"USA - TN (RxPak) Memphis";35.517491;-86.580447;"Australia";-25.274398;133.775136
"768";"MSD Haarlem";52.387388;4.646219;"AUSTRALIA - (CSL) Parkville";-37.788;144.951
"772";"West Point - Bldg 56";40.209052;-75.296471;"AUSTRALIA - (CSL) Parkville";-37.788;144.951
"796";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"AUSTRALIA - (UPS) Greystanes";-33.823244;150.943633
"798";"NETHERLANDS - MSD Oss";51.76118;5.514048;"AUSTRALIA - (UPS) Greystanes";-33.823244;150.943633
"820";"Mirabel France";44.144405;1.419822;"AUSTRALIA - (UPS) Greystanes";-33.823244;150.943633
"838";"AUSTRALIA - (UPS) Greystanes";-33.823244;150.943633;"AUSTRALIA - (UPS) Greystanes";-33.823244;150.943633
"840";"CANADA - (Bayer) Pointe-Claire";45.41666667;-75.7;"AUSTRALIA - (UPS) Greystanes";-33.823244;150.943633
"858";"IRELAND - MSD Swords";53.31666667;-6.233333;"AUSTRALIA - (UPS) Greystanes";-33.823244;150.943633
"862";"MSD Haarlem";52.387388;4.646219;"AUSTRALIA - (UPS) Greystanes";-33.823244;150.943633
"976";"USA - FL Miami Lakes";25.908706;-80.308662;"AUSTRALIA - (UPS) Greystanes";-33.823244;150.943633
"1012";"MSD Singapore West";1.283333333;103.85;"AUSTRALIA - (UPS) Greystanes";-33.823244;150.943633
"1094";"INDONESIA - MSD Indonesia Pandaan";-6.166666667;106.816667;"AUSTRALIA - MSD South Granville";-33.857722;151.010751
"1095";"MSD Haarlem";52.387388;4.646219;"AUSTRALIA - MSD South Granville";-33.857722;151.010751
"1097";"NETHERLANDS - (Movianto) Oss";51.76118;5.514048;"Austria";47.516231;14.550072
"1098";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Austria";47.516231;14.550072
"1100";"FRANCE - Herouville Saint Clair";48.86666667;2.333333;"Austria";47.516231;14.550072
"1102";"MSD Haarlem";52.387388;4.646219;"Austria";47.516231;14.550072
"1104";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Austria";47.516231;14.550072
"1132";"Cramlington UK";55.086136;-1.5808;"Austria";47.516231;14.550072
